"Subject","Group","Condition","Trial","VideoName","P_V","M_V","ClozeScore","zClozeScore","cClozeScore","PathPrimeV","MannerPrimeV"
"1","L2","Manner",1,"trd_brocol",1,0,29,0.55782232301456,4.50847457627119,"baja","tira de"
"1","L2","Manner",2,"tgm_sacdun",0,1,29,0.55782232301456,4.50847457627119,"sube","arrastra"
"1","L2","Manner",3,"trd_bronei",1,0,29,0.55782232301456,4.50847457627119,"baja","tira de"
"1","L2","Manner",4,"pgm_paqdun",0,1,29,0.55782232301456,4.50847457627119,"sube","empuja"
"1","L2","Manner",5,"prd_balcol",0,1,29,0.55782232301456,4.50847457627119,"baja","rueda"
"1","L2","Manner",6,"pge_tabgro",0,1,29,0.55782232301456,4.50847457627119,"entra en","empuja"
"1","L2","Manner",7,"tgd_malcol",0,1,29,0.55782232301456,4.50847457627119,"baja","arrastra"
"1","L2","Manner",8,"trt_pourou",1,0,29,0.55782232301456,4.50847457627119,"cruza","tira de"
"1","L2","Manner",9,"pgd_valcol",0,1,29,0.55782232301456,4.50847457627119,"baja","empuja"
"1","L2","Manner",10,"trt_pourue",1,0,29,0.55782232301456,4.50847457627119,"cruza","tira de"
"1","L2","Manner",11,"prd_balnei",0,1,29,0.55782232301456,4.50847457627119,"baja","rueda"
"1","L2","Manner",12,"pgm_paqtoi",0,1,29,0.55782232301456,4.50847457627119,"sube","empuja"
"1","L2","Manner",13,"tgt_cherou",0,1,29,0.55782232301456,4.50847457627119,"cruza","arrastra"
"1","L2","Manner",14,"prm_boutoi",0,1,29,0.55782232301456,4.50847457627119,"sube","rueda"
"1","L2","Manner",15,"pgt_panrou",0,1,29,0.55782232301456,4.50847457627119,"cruza","empuja"
"1","L2","Manner",16,"trm_voidun",0,1,29,0.55782232301456,4.50847457627119,"sube","tira de"
"1","L2","Manner",17,"tge_chagro",0,1,29,0.55782232301456,4.50847457627119,"entra en","arrastra"
"1","L2","Manner",18,"prt_rourue",0,1,29,0.55782232301456,4.50847457627119,"cruza","rueda"
"1","L2","Manner",19,"tre_cadmai",0,1,29,0.55782232301456,4.50847457627119,"entra en","tira de"
"1","L2","Manner",20,"prm_boudun",0,1,29,0.55782232301456,4.50847457627119,"sube","rueda"
"1","L2","Manner",21,"pgt_panrue",0,1,29,0.55782232301456,4.50847457627119,"cruza","empuja"
"1","L2","Manner",22,"pre_pnegro",0,1,29,0.55782232301456,4.50847457627119,"entra en","rueda"
"1","L2","Manner",23,"tgm_sactoi",0,1,29,0.55782232301456,4.50847457627119,"sube","arrastra"
"1","L2","Manner",24,"pgd_valnei",0,1,29,0.55782232301456,4.50847457627119,"baja","empuja"
"1","L2","Manner",25,"trm_voitoi",0,1,29,0.55782232301456,4.50847457627119,"sube","tira de"
"1","L2","Manner",26,"pre_pnemai",0,1,29,0.55782232301456,4.50847457627119,"entra en","rueda"
"1","L2","Manner",27,"tgt_cherue",0,1,29,0.55782232301456,4.50847457627119,"cruza","arrastra"
"1","L2","Manner",28,"pge_tabmai",0,1,29,0.55782232301456,4.50847457627119,"entra en","empuja"
"1","L2","Manner",29,"tgd_malnei",0,1,29,0.55782232301456,4.50847457627119,"baja","arrastra"
"1","L2","Manner",30,"tre_cadgro",0,1,29,0.55782232301456,4.50847457627119,"entra en","tira de"
"1","L2","Manner",31,"prt_rourou",0,1,29,0.55782232301456,4.50847457627119,"cruza","rueda"
"1","L2","Manner",32,"tge_chamai",0,1,29,0.55782232301456,4.50847457627119,"entra en","arrastra"
"2","L2","Baseline",1,"prd_balcol",1,0,12,-1.54554530850275,-12.4915254237288,"baja","rueda"
"2","L2","Baseline",2,"trm_voidun",0,0,12,-1.54554530850275,-12.4915254237288,"sube","tira de"
"2","L2","Baseline",3,"prd_balnei",1,0,12,-1.54554530850275,-12.4915254237288,"baja","rueda"
"2","L2","Baseline",4,"tge_chamai",1,1,12,-1.54554530850275,-12.4915254237288,"entra en","arrastra"
"2","L2","Baseline",5,"trt_pourou",1,0,12,-1.54554530850275,-12.4915254237288,"cruza","tira de"
"2","L2","Baseline",6,"tgd_malcol",1,0,12,-1.54554530850275,-12.4915254237288,"baja","arrastra"
"2","L2","Baseline",7,"pgt_panrue",1,0,12,-1.54554530850275,-12.4915254237288,"cruza","empuja"
"2","L2","Baseline",8,"prm_boudun",1,0,12,-1.54554530850275,-12.4915254237288,"sube","rueda"
"2","L2","Baseline",9,"trd_brocol",1,0,12,-1.54554530850275,-12.4915254237288,"baja","tira de"
"2","L2","Baseline",10,"prm_boutoi",1,0,12,-1.54554530850275,-12.4915254237288,"sube","rueda"
"2","L2","Baseline",11,"pgd_valcol",1,0,12,-1.54554530850275,-12.4915254237288,"baja","empuja"
"2","L2","Baseline",12,"prt_rourou",1,0,12,-1.54554530850275,-12.4915254237288,"cruza","rueda"
"2","L2","Baseline",13,"pgm_paqtoi",1,0,12,-1.54554530850275,-12.4915254237288,"sube","empuja"
"2","L2","Baseline",14,"tgt_cherou",1,0,12,-1.54554530850275,-12.4915254237288,"cruza","arrastra"
"2","L2","Baseline",16,"tgm_sactoi",1,0,12,-1.54554530850275,-12.4915254237288,"sube","arrastra"
"2","L2","Baseline",17,"pge_tabgro",1,1,12,-1.54554530850275,-12.4915254237288,"entra en","empuja"
"2","L2","Baseline",18,"tgm_sacdun",1,0,12,-1.54554530850275,-12.4915254237288,"sube","arrastra"
"2","L2","Baseline",19,"tre_cadgro",1,1,12,-1.54554530850275,-12.4915254237288,"entra en","tira de"
"2","L2","Baseline",20,"pgm_paqdun",1,0,12,-1.54554530850275,-12.4915254237288,"sube","empuja"
"2","L2","Baseline",21,"tre_cadmai",1,1,12,-1.54554530850275,-12.4915254237288,"entra en","tira de"
"2","L2","Baseline",22,"pgt_panrou",1,0,12,-1.54554530850275,-12.4915254237288,"cruza","empuja"
"2","L2","Baseline",23,"trd_bronei",1,0,12,-1.54554530850275,-12.4915254237288,"baja","tira de"
"2","L2","Baseline",24,"pge_tabmai",1,0,12,-1.54554530850275,-12.4915254237288,"entra en","empuja"
"2","L2","Baseline",25,"tgd_malnei",1,0,12,-1.54554530850275,-12.4915254237288,"baja","arrastra"
"2","L2","Baseline",26,"trt_pourue",1,0,12,-1.54554530850275,-12.4915254237288,"cruza","tira de"
"2","L2","Baseline",27,"tge_chagro",1,1,12,-1.54554530850275,-12.4915254237288,"entra en","arrastra"
"2","L2","Baseline",28,"trm_voitoi",1,0,12,-1.54554530850275,-12.4915254237288,"sube","tira de"
"2","L2","Baseline",29,"pre_pnemai",1,1,12,-1.54554530850275,-12.4915254237288,"entra en","rueda"
"2","L2","Baseline",30,"tgt_cherue",1,0,12,-1.54554530850275,-12.4915254237288,"cruza","arrastra"
"2","L2","Baseline",31,"pre_pnegro",1,0,12,-1.54554530850275,-12.4915254237288,"entra en","rueda"
"2","L2","Baseline",32,"pgd_valcol",1,0,12,-1.54554530850275,-12.4915254237288,"baja","empuja"
"3","L2","Path",1,"prt_rourou",0,0,26,0.186639799805623,1.50847457627119,"cruza","rueda"
"3","L2","Path",2,"trm_voidun",1,0,26,0.186639799805623,1.50847457627119,"sube","tira de"
"3","L2","Path",3,"tgt_cherou",1,0,26,0.186639799805623,1.50847457627119,"cruza","arrastra"
"3","L2","Path",4,"pgd_valnei",1,0,26,0.186639799805623,1.50847457627119,"baja","empuja"
"3","L2","Path",5,"tge_chagro",1,0,26,0.186639799805623,1.50847457627119,"entra en","arrastra"
"3","L2","Path",6,"prt_rourue",1,0,26,0.186639799805623,1.50847457627119,"cruza","rueda"
"3","L2","Path",7,"pge_tabmai",1,0,26,0.186639799805623,1.50847457627119,"entra en","empuja"
"3","L2","Path",8,"trt_pourou",1,0,26,0.186639799805623,1.50847457627119,"cruza","tira de"
"3","L2","Path",9,"pgm_paqtoi",1,0,26,0.186639799805623,1.50847457627119,"sube","empuja"
"3","L2","Path",10,"trd_bronei",1,0,26,0.186639799805623,1.50847457627119,"baja","tira de"
"3","L2","Path",11,"prm_boudun",1,0,26,0.186639799805623,1.50847457627119,"sube","rueda"
"3","L2","Path",12,"pgt_panrou",1,0,26,0.186639799805623,1.50847457627119,"cruza","empuja"
