"Subject","Condition","VbType_Cond","ClozeScore","Group","quant05","quant50","quant95","nbIterations"
"NS_1.M_V","Baseline","M_V.Baseline",NA,"NS",0.00552524074768002,0.00552524074768002,0.00552524074768002,500
"NS_1.P_V","Baseline","P_V.Baseline",NA,"NS",-0.101913026977532,-0.101913026977532,-0.101913026977532,500
"NS_150.M_V","Manner","M_V.Manner",NA,"NS",-0.00489482146047049,-0.00489482146047049,-0.00489482146047049,500
"NS_151.M_V","Baseline","M_V.Baseline",NA,"NS",0.0270293301296984,0.0270293301296984,0.0270293301296984,500
"NS_151.P_V","Baseline","P_V.Baseline",NA,"NS",-0.148397956043115,-0.148397956043115,-0.148397956043115,500
"NS_152.M_V","Baseline","M_V.Baseline",NA,"NS",-0.000672923192813368,-0.000672923192813368,-0.000672923192813368,500
"NS_152.P_V","Baseline","P_V.Baseline",NA,"NS",-0.31928040633375,-0.31928040633375,-0.31928040633375,500
"NS_153.M_V","Baseline","M_V.Baseline",NA,"NS",0.00501413611318163,0.00501413611318163,0.00501413611318163,500
"NS_153.P_V","Baseline","P_V.Baseline",NA,"NS",-0.140592674752125,-0.140592674752125,-0.140592674752125,500
"NS_154.M_V","Baseline","M_V.Baseline",NA,"NS",0.00167145029701399,0.00167145029701399,0.00167145029701399,500
"NS_154.P_V","Baseline","P_V.Baseline",NA,"NS",-0.15682460455917,-0.15682460455917,-0.15682460455917,500
"NS_155.M_V","Baseline","M_V.Baseline",NA,"NS",-0.0020982596714173,-0.0020982596714173,-0.0020982596714173,500
"NS_155.P_V","Baseline","P_V.Baseline",NA,"NS",-0.259324927874541,-0.259324927874541,-0.259324927874541,500
"NS_156.M_V","Baseline","M_V.Baseline",NA,"NS",0.0241164204211792,0.0241164204211792,0.0241164204211792,500
"NS_156.P_V","Baseline","P_V.Baseline",NA,"NS",-0.118508354785496,-0.118508354785496,-0.118508354785496,500
"NS_157.M_V","Manner","M_V.Manner",NA,"NS",-0.0330339025851615,-0.0330339025851615,-0.0330339025851615,500
