"Subject","Group","Condition","Trial","VideoName","cTrial","ClozeScore","VerbType","Used","VbType_Cond","Condition_bin"
"2.P_V","L2","Baseline",1,"prd_balcol",-15.5023910733262,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",2,"trm_voidun",-14.5023910733262,12,"P_V",0,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",3,"prd_balnei",-13.5023910733262,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",4,"tge_chamai",-12.5023910733262,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",5,"trt_pourou",-11.5023910733262,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",6,"tgd_malcol",-10.5023910733262,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",7,"pgt_panrue",-9.50239107332625,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",8,"prm_boudun",-8.50239107332625,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",9,"trd_brocol",-7.50239107332625,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",10,"prm_boutoi",-6.50239107332625,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",11,"pgd_valcol",-5.50239107332625,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",12,"prt_rourou",-4.50239107332625,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",13,"pgm_paqtoi",-3.50239107332625,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",14,"tgt_cherou",-2.50239107332625,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",16,"tgm_sactoi",-0.502391073326248,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",17,"pge_tabgro",0.497608926673752,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",18,"tgm_sacdun",1.49760892667375,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",19,"tre_cadgro",2.49760892667375,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",20,"pgm_paqdun",3.49760892667375,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",21,"tre_cadmai",4.49760892667375,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",22,"pgt_panrou",5.49760892667375,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",23,"trd_bronei",6.49760892667375,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",24,"pge_tabmai",7.49760892667375,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",25,"tgd_malnei",8.49760892667375,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",26,"trt_pourue",9.49760892667375,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",27,"tge_chagro",10.4976089266738,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",28,"trm_voitoi",11.4976089266738,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",29,"pre_pnemai",12.4976089266738,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",30,"tgt_cherue",13.4976089266738,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",31,"pre_pnegro",14.4976089266738,12,"P_V",1,"P_V.Baseline","Baseline"
"2.P_V","L2","Baseline",32,"pgd_valcol",15.4976089266738,12,"P_V",1,"P_V.Baseline","Baseline"
"3.P_V","L2","Path",1,"prt_rourou",-15.5023910733262,26,"P_V",0,"P_V.Path","Primed"
"3.P_V","L2","Path",2,"trm_voidun",-14.5023910733262,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",3,"tgt_cherou",-13.5023910733262,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",4,"pgd_valnei",-12.5023910733262,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",5,"tge_chagro",-11.5023910733262,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",6,"prt_rourue",-10.5023910733262,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",7,"pge_tabmai",-9.50239107332625,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",8,"trt_pourou",-8.50239107332625,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",9,"pgm_paqtoi",-7.50239107332625,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",10,"trd_bronei",-6.50239107332625,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",11,"prm_boudun",-5.50239107332625,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",12,"pgt_panrou",-4.50239107332625,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",13,"pre_pnegro",-3.50239107332625,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",14,"trm_voitoi",-2.50239107332625,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",15,"tgd_malcol",-1.50239107332625,26,"P_V",1,"P_V.Path","Primed"
"3.P_V","L2","Path",16,"pre_pnemai",-0.502391073326248,26,"P_V",1,"P_V.Path","Primed"
