"Subject","Group","Condition","Trial","cTrial","VideoName","ClozeScore","cClozeScore","Profic_categ","Value","Used"
"1","L2","Manner",1,-15.5,"trd_brocol",29,4.51,"high prof","Both",0
"1","L2","Manner",1,-15.5,"trd_brocol",29,4.51,"high prof","Manner_verb",0
"1","L2","Manner",1,-15.5,"trd_brocol",29,4.51,"high prof","None",0
"1","L2","Manner",1,-15.5,"trd_brocol",29,4.51,"high prof","Path_verb",1
"1","L2","Manner",2,-14.5,"tgm_sacdun",29,4.51,"high prof","Both",0
"1","L2","Manner",2,-14.5,"tgm_sacdun",29,4.51,"high prof","Manner_verb",1
"1","L2","Manner",2,-14.5,"tgm_sacdun",29,4.51,"high prof","None",0
"1","L2","Manner",2,-14.5,"tgm_sacdun",29,4.51,"high prof","Path_verb",0
"1","L2","Manner",3,-13.5,"trd_bronei",29,4.51,"high prof","Both",0
"1","L2","Manner",3,-13.5,"trd_bronei",29,4.51,"high prof","Manner_verb",0
"1","L2","Manner",3,-13.5,"trd_bronei",29,4.51,"high prof","None",0
"1","L2","Manner",3,-13.5,"trd_bronei",29,4.51,"high prof","Path_verb",1
"1","L2","Manner",4,-12.5,"pgm_paqdun",29,4.51,"high prof","Both",0
"1","L2","Manner",4,-12.5,"pgm_paqdun",29,4.51,"high prof","Manner_verb",1
"1","L2","Manner",4,-12.5,"pgm_paqdun",29,4.51,"high prof","None",0
"1","L2","Manner",4,-12.5,"pgm_paqdun",29,4.51,"high prof","Path_verb",0
"1","L2","Manner",5,-11.5,"prd_balcol",29,4.51,"high prof","Both",0
"1","L2","Manner",5,-11.5,"prd_balcol",29,4.51,"high prof","Manner_verb",1
"1","L2","Manner",5,-11.5,"prd_balcol",29,4.51,"high prof","None",0
"1","L2","Manner",5,-11.5,"prd_balcol",29,4.51,"high prof","Path_verb",0
"1","L2","Manner",6,-10.5,"pge_tabgro",29,4.51,"high prof","Both",0
"1","L2","Manner",6,-10.5,"pge_tabgro",29,4.51,"high prof","Manner_verb",1
"1","L2","Manner",6,-10.5,"pge_tabgro",29,4.51,"high prof","None",0
"1","L2","Manner",6,-10.5,"pge_tabgro",29,4.51,"high prof","Path_verb",0
"1","L2","Manner",7,-9.5,"tgd_malcol",29,4.51,"high prof","Both",0
"1","L2","Manner",7,-9.5,"tgd_malcol",29,4.51,"high prof","Manner_verb",1
"1","L2","Manner",7,-9.5,"tgd_malcol",29,4.51,"high prof","None",0
"1","L2","Manner",7,-9.5,"tgd_malcol",29,4.51,"high prof","Path_verb",0
"1","L2","Manner",8,-8.5,"trt_pourou",29,4.51,"high prof","Both",0
"1","L2","Manner",8,-8.5,"trt_pourou",29,4.51,"high prof","Manner_verb",0
"1","L2","Manner",8,-8.5,"trt_pourou",29,4.51,"high prof","None",0
"1","L2","Manner",8,-8.5,"trt_pourou",29,4.51,"high prof","Path_verb",1
"1","L2","Manner",9,-7.5,"pgd_valcol",29,4.51,"high prof","Both",0
"1","L2","Manner",9,-7.5,"pgd_valcol",29,4.51,"high prof","Manner_verb",1
"1","L2","Manner",9,-7.5,"pgd_valcol",29,4.51,"high prof","None",0
"1","L2","Manner",9,-7.5,"pgd_valcol",29,4.51,"high prof","Path_verb",0
"1","L2","Manner",10,-6.5,"trt_pourue",29,4.51,"high prof","Both",0
"1","L2","Manner",10,-6.5,"trt_pourue",29,4.51,"high prof","Manner_verb",0
"1","L2","Manner",10,-6.5,"trt_pourue",29,4.51,"high prof","None",0
"1","L2","Manner",10,-6.5,"trt_pourue",29,4.51,"high prof","Path_verb",1
"1","L2","Manner",11,-5.5,"prd_balnei",29,4.51,"high prof","Both",0
"1","L2","Manner",11,-5.5,"prd_balnei",29,4.51,"high prof","Manner_verb",1
"1","L2","Manner",11,-5.5,"prd_balnei",29,4.51,"high prof","None",0
"1","L2","Manner",11,-5.5,"prd_balnei",29,4.51,"high prof","Path_verb",0
"1","L2","Manner",12,-4.5,"pgm_paqtoi",29,4.51,"high prof","Both",0
