"Subject","Condition","Trial","Word1","Word2","Word3","CorrectChoice","Response","Accuracy"
1,"MannerPrimeSentence",1,"una maleta","una pendiente","un plato","1","1","1"
1,"MannerPrimeSentence",2,"un hula hoop","un local","un carrito de la compra","3","3","1"
1,"MannerPrimeSentence",3,"un cesto","una cómoda","una parcela","1","1","1"
1,"MannerPrimeSentence",4,"una rueda","una vía","un carro","1","1","1"
1,"MannerPrimeSentence",5,"un puente","una duna","una estantería","2","2","1"
1,"MannerPrimeSentence",6,"una colina","un tronco","unos escalones","1","1","1"
1,"MannerPrimeSentence",7,"un camino","un jardín","un barril","1","1","1"
1,"MannerPrimeSentence",8,"un barril","unos peldaños","un flotador","3","3","1"
1,"MannerPrimeSentence",9,"un ascensor","una bicicleta","una pelota inflable","3","3","1"
1,"MannerPrimeSentence",10,"una lámpara","un almacén","una rueda de carreta","3","3","1"
1,"MannerPrimeSentence",11,"una plaza","un carrito de bebé","un aro","2","2","1"
1,"MannerPrimeSentence",12,"un cuarto","un tablón","una carretilla","3","3","1"
1,"MannerPrimeSentence",13,"una silla","una botella","un aula","1","1","1"
1,"MannerPrimeSentence",14,"un saco","un vestíbulo","un colchón","1","1","1"
1,"MannerPrimeSentence",15,"una papelera","un tejado","unas gradas","2","2","1"
1,"MannerPrimeSentence",16,"un cerro","una carretera","una piedra","2","2","1"
1,"MannerPrimeSentence",17,"un jardín","un cilindro","una colina nevada","3","3","1"
1,"MannerPrimeSentence",18,"un armario","un coche de juguete","un pasillo","2","2","1"
1,"MannerPrimeSentence",19,"una esfera","una sala","un baúl","3","3","1"
1,"MannerPrimeSentence",20,"una escuela","un palo","un caballo de juguete","3","3","1"
1,"MannerPrimeSentence",21,"una loma","un trineo","una calle","3","3","1"
1,"MannerPrimeSentence",22,"una mesa","una escalera","un triciclo","1","1","1"
1,"MannerPrimeSentence",23,"una escalinata","una manta","una cueva","3","3","1"
1,"MannerPrimeSentence",24,"un collado","un patinete","una bala de paja","3","3","1"
1,"MannerPrimeSentence",25,"un granero","un repecho","un muñeco","1","1","1"
1,"MannerPrimeSentence",26,"una habitación","un paquete","un sillón","2","2","1"
2,"NoPrime",1,"un puente","una duna","una estantería","2","1","0"
2,"NoPrime",2,"una silla","una botella","un aula","1","2","0"
2,"NoPrime",3,"una colina","un tronco","unos escalones","1","1","1"
