ID,Sex,Date,Time,Age,Hopi_L1_priming_ling_only
150,female,2016-04-06,9:30,20,manner
151,female,2016-04-06,10:15,20,control
152,male,2016-04-06,13:45,20,control
153,female,2016-04-06,15:00,19,control
154,male,2016-04-07,10:00,21,control
155,female,2016-04-07,11:45,20,control
156,female,2016-04-07,13:00,21,control
157,female,2016-04-07,14:15,23,manner
158,female,2016-04-07,15:35,20,control
159,female,2016-04-07,16:40,21,path
160,female,2016-04-08,8:30,21,control
161,male,2016-04-08,10:30,20,path
162,female,2016-04-11,9:15,21,path
163,female,2016-04-11,10:32,20,path
164,female,2016-04-11,12:45,20,manner
165,male,2016-04-12,8:30,23,control
166,male,2016-04-12,10:30,21,path
167,female,2016-04-12,12:00,20,manner
168,male,2016-04-12,13:30,20,path
169,female,2016-04-13,8:30,21,path
170,male,2016-04-13,11:30,20,control
171,female,2016-04-13,13:00,20,path
172,male,2016-04-13,15:00,22,manner
173,female,2016-04-14,13:00,21,path
174,male,2016-04-14,14:30,21,path
175,male,2016-04-15,8:30,20,control
176,female,2016-04-15,13:10,20,path
177,male,2016-04-15,14:30,20,control
178,female,2016-04-18,12:00,21,manner
179,female,2016-04-19,9:20,21,manner
180,male,2016-04-19,12:00,23,path
181,male,2016-04-19,13:30,23,path
182,female,2016-04-20,11:30,21,manner
183,male,2016-04-20,13:00,22,manner
184,female,2016-04-20,15:00,21,path
185,male,2016-04-21,8:30,24,manner
186,male,2016-04-21,10:00,22,control
187,female,2016-04-21,11:30,22,control
188,male,2016-04-21,13:00,22,control
189,male,2016-04-21,15:00,25,manner
190,female,2016-04-22,9:00,21,control
191,male,2016-04-22,10:30,22,manner
192,male,2016-04-22,12:00,26,manner
193,female,2016-04-22,13:30,23,control
194,male,2016-04-22,15:00,24,manner
195,female,2016-04-25,12:00,22,path
196,male,2016-04-25,13:30,20,manner
197,male,2016-04-25,15:30,28,path
198,male,2016-04-26,12:00,23,control
199,male,2016-04-26,13:30,23,manner
200,female,2015-04-27,9:00,20,manner
201,male,2015-04-27,10:45,28,control
202,male,2015-04-27,12:00,23,control
203,male,2015-04-27,13:30,21,control
204,male,2015-04-27,15:00,20,manner
205,male,2015-04-28,9:30,24,path
206,male,2015-04-28,13:00,20,manner
207,male,2015-04-28,14:30,21,path
208,female,2015-04-28,16:00,,manner
