VocabEntry,Baseform,SemComp,Meaning,SyntCateg,SyntForm
(a)dentro_AdvP,adentro,Path,INTO,Adjunct,AdvP
a-cuestas_AdvP,a-cuestas,Manner,PULL,Adjunct,AdvP
a-rastras_AdvP,a-rastras,Manner,DRAG,Adjunct,AdvP
abajo_AdvP,abajo,Path,DOWN,Adjunct,AdvP
arriba_AdvP,arriba,Path,UP,Adjunct,AdvP
delante_AdvP,delante,Manner,IN-FRONT,Adjunct,AdvP
detrás/atrás_AdvP,detrás,Manner,BEHIND,Adjunct,AdvP
en-frente_AdvP,en-frente-de-sí,Manner,IN-FRONT,Adjunct,AdvP
a-lo-alto_PP,a-lo-alto,Path,UP,Adjunct,PP
a-través-de_PP,a-través-de,Path,ACROSS,Adjunct,PP
al-topp@sw_PP,al-tope,Path,UP,Adjunct,PP
con-una-cuerda_PP,con-una-cuerda,Manner,WITH-ROPE,Adjunct,PP
de-un-lado-al-otro_PP,de-un-lado-al-otro,Path,ACROSS,Adjunct,PP
encima_PP,encima,?Path,?UP,Adjunct,PP
PREP-(a)dentro_PP,hacia-dentro-de-GROUND,Path,INTO,Adjunct,PP
PREP-abajo_PP,PREP-abajo,Path,DOWN,Adjunct,PP
PREP-arriba_PP,PREP-arriba,Path,UP,Adjunct,PP
PREP-el-interior_PP,PREP-el-interior,Path,INTO,Adjunct,PP
PREP-la-cima_PP,PREP-la-cima_PP,Path,UP,Adjunct,PP
PREP-la-cumbre_PP,PREP-la-cumbre,Path,UP,Adjunct,PP
PREP-otro-lado_PP,PREP-otro-lado,Path,ACROSS,Adjunct,PP
andando_Ger,andar,Manner,WALK,Adjunct,V_ger
arrastrando_Ger,arrastrar,Manner,DRAG,Adjunct,V_ger
atravesando_Ger,atravesar,Path,ACROSS,Adjunct,V_ger
bajando_Ger,bajar,Path,DOWN,Adjunct,V_ger
cargando_Ger,cargar,Other,CARRY,Adjunct,V_ger
cruzando_Ger,cruzar,Path,ACROSS,Adjunct,V_ger
dejando_Ger,dejar,Other,LEAVE,Adjunct,V_ger
empujando_Ger,empujar,Manner,PUSH,Adjunct,V_ger
entrando_Ger,entrar,Path,INTO,Adjunct,V_ger
estirando_Ger,estirar,Manner,PULL,Adjunct,V_ger
introduciendo_Ger,introducir,Path,INTO,Adjunct,V_ger
llevando_Ger,llevar,Other,BRING,Adjunct,V_ger
metiendo_Ger,meter,Path,INTO,Adjunct,V_ger
pasando_Ger,pasar,?Path,?ACROSS,Adjunct,V_ger
portando_Ger,portar,Other,BRING,Adjunct,V_ger
rodando_Ger,rodar,Manner,ROLL,Adjunct,V_ger
subiendo_Ger,subir,Path,UP,Adjunct,V_ger
